Year,Squad,Poss,xG,npxG,xA,Sh/90,SoT/90,npxG/Sh,G-xG,KP,PTF3,PPA,CrsPA,Prog,xGD/90,PSxG,PSxG/SoT,PSxG+/-,Standings
2018/19,Watford,47.1,1.26,1.24,0.88,11.42,3.95,0.11,0.08,7.92,26.6,8.42,1.79,31.6,-0.17,1.49,0.32,0.02,11
2018/19,West Ham,48.7,1.29,1.19,0.86,11.5,3.92,0.11,0.06,8.26,27.4,7.66,1.58,30.9,-0.31,1.72,0.33,0.3,10
2018/19,Wolves,46.9,1.32,1.23,0.92,12.37,3.79,0.1,-0.11,8.68,29.4,7.24,2.03,31.8,0.3,1.08,0.28,-0.06,7
2019/20,Arsenal,54,1.29,1.23,0.79,10.55,3.79,0.12,0.18,7.5,29.5,8.42,1.84,32.6,-0.19,1.53,0.27,0.26,8
2019/20,Aston Villa,43.9,1.06,0.99,0.8,11.92,3.84,0.08,0,9.5,23.4,7.53,2.5,27.2,-0.68,1.57,0.32,-0.16,17
2019/20,Bournemouth,43.8,1.12,1.04,0.72,10.11,3.05,0.1,-0.12,7.03,23.7,6.79,1.39,28.1,-0.39,1.69,0.33,-0.02,18
2019/20,Brighton,52.2,1.08,1.04,0.7,12,3.61,0.09,-0.16,8.61,28.7,8.16,2.24,34.2,-0.35,1.43,0.32,0.09,15
2019/20,Burnley,41.4,1.16,1.09,0.72,10.11,3.26,0.11,-0.08,6.92,20.5,5.47,2.05,21.4,-0.12,1.24,0.27,-0.05,10
2019/20,Chelsea,60.7,1.75,1.62,1.22,16.29,5.53,0.1,0.06,11.9,39,11.3,2.76,40,0.75,1.09,0.35,-0.25,4
2019/20,Crystal Palace,44.5,0.89,0.84,0.62,9.79,3.05,0.09,-0.13,6.66,22.7,6.74,1.5,27.4,-0.46,1.46,0.34,0.2,14
2019/20,Everton,49.2,1.3,1.28,0.81,12.24,4.08,0.11,-0.19,8.32,27.2,7.82,2.24,33.1,0.02,1.28,0.32,-0.11,12
2019/20,Leicester City,57.6,1.62,1.48,1.16,14.03,4.76,0.11,0.09,10.5,32.6,8.5,2.21,35.2,0.45,1.11,0.28,0.08,5
2019/20,Liverpool,63.4,1.88,1.78,1.36,15.39,5.84,0.12,0.3,11.5,45.6,13.2,2.66,47.8,0.83,0.83,0.29,-0.01,1
2019/20,Manchester City,66.9,2.45,2.23,1.74,19.21,6.47,0.12,0.18,14.7,50.4,15.7,2.53,52.8,1.53,0.89,0.3,-0.01,2
2019/20,Manchester Utd,56.2,1.56,1.28,0.97,13.89,5.26,0.09,0.15,10.6,35.8,9.29,1.39,39.5,0.58,0.98,0.28,0.06,3
2019/20,Newcastle Utd,38.6,0.87,0.85,0.61,10.45,3.34,0.08,0.13,7.71,20.1,4.95,1.76,19.8,-0.66,1.74,0.34,0.26,13
2019/20,Norwich City,49.3,1,0.96,0.69,10.76,3.26,0.09,-0.34,7.87,23.2,5.89,1.11,26.2,-0.63,1.87,0.33,-0.03,20
2019/20,Sheffield Utd,43.1,1.09,1.07,0.83,9.29,2.87,0.12,-0.14,7,26.2,7.68,2.42,27.9,-0.17,1.12,0.3,0.09,9
2019/20,Southampton,49.3,1.42,1.32,0.83,13.08,4.45,0.1,-0.08,8.76,25.8,8,1.84,29.4,0.02,1.54,0.34,-0.01,11
2019/20,Tottenham,52.2,1.21,1.13,0.81,11.55,4.08,0.1,0.26,8.61,30.1,7.95,1.32,33.7,-0.16,1.39,0.28,0.2,6
2019/20,Watford,42.5,1.19,1.03,0.74,10.79,3,0.1,-0.27,7.55,23.4,7.05,2.11,25.9,-0.32,1.53,0.31,-0.07,19
2019/20,West Ham,44,1.22,1.14,0.84,10.89,4.13,0.11,0.07,8.37,25.6,6.82,2.24,27.6,-0.39,1.54,0.3,-0.01,16
2019/20,Wolves,48.3,1.24,1.16,0.85,11.92,3.74,0.1,0.05,8.61,26.7,6.03,2.16,28.4,0.32,1.06,0.32,0.03,7
2020/21,Arsenal,53.8,1.41,1.29,0.96,11.97,3.71,0.11,-0.01,8.5,34.7,8.95,1.89,35.3,0.24,1.09,0.31,0.17,8
2020/21,Aston Villa,48.1,1.39,1.28,0.98,13.63,4.71,0.1,-0.02,10.5,28.4,9.26,2.08,32.5,0,1.38,0.27,0.19,11
2020/21,Brighton,51.3,1.36,1.18,0.87,12.53,3.39,0.1,-0.33,9.18,28.5,10,2.39,32.9,0.37,1.2,0.35,0.04,16
2020/21,Burnley,41.7,1.05,0.99,0.71,10.08,3.29,0.1,-0.21,7.03,23.2,7.45,2.21,24.8,-0.47,1.36,0.27,-0.07,17
2020/21,Chelsea,61.4,1.68,1.48,1.12,14.55,5.11,0.1,-0.21,11.7,37.9,10.3,2.11,40.2,0.82,0.87,0.29,-0.06,4
2020/21,Crystal Palace,40.1,0.85,0.78,0.55,9.11,3.39,0.09,0.17,6.53,20.6,6.42,1.55,25.6,-0.66,1.65,0.35,-0.09,14
2020/21,Everton,46.5,1.24,1.14,0.87,10.39,3.79,0.11,-0.06,7.82,25.5,6.87,1.79,28.2,-0.11,1.28,0.3,0.04,10
